I-16-2,,I-16-3,,I-16-1,,PES0.45-1(5),,PES0.45-2(5),,PES0.45-3(5),,PVDF0.2-1(3),,PVDF0.2-2(3),,PVDF0.2-3(3),,PVDF0.45-1(4),,PVDF0.45-2(4),,PVDF0.45-3(4),,PVDF5-1(6),,PVDF5-2(6),,PVDF5-3(6),,PW-1,,PW-2,,PW-3,,Sartorius_CelluloseNitrate0.45-1(2),,Sartorius_CelluloseNitrate0.45-2(2),,Sartorius_CelluloseNitrate0.45-3(2),,Sartorius_CelluloseNitrate5-1(1),,Sartorius_CelluloseNitrate5-2(1),,Sartorius_CelluloseNitrate5-3(1),
-0.540276,33.4758,-0.540276,58.8443,-0.540276,-4.16994,-0.540276,-8.26602,-0.540276,-1.16587,-0.540276,-16.3198,-0.540276,-18.3797,-0.540276,-10.264,-0.540276,5.38588,-0.540276,24.2861,-0.540276,-7.32665,-0.540276,14.4125,-0.540276,62.8164,-0.540276,84.5173,-0.540276,56.0166,-0.540276,0.560284,-0.540276,6.80616,-0.540276,62.0058,-0.540276,13.8975,-0.540276,-30.4581,-0.540276,-9.43427,-0.540276,48.7966,-0.540276,93.8968,-0.540276,73.5643
-0.530275,37.5618,-0.530275,63.2885,-0.530275,0.369549,-0.530275,-1.58548,-0.530275,5.71012,-0.530275,-5.80549,-0.530275,-12.9009,-0.530275,-1.79052,-0.530275,14.1788,-0.530275,29.9562,-0.530275,-0.0357628,-0.530275,21.5057,-0.530275,65.9874,-0.530275,88.6467,-0.530275,60.1985,-0.530275,5.26931,-0.530275,10.597,-0.530275,66.6978,-0.530275,19.677,-0.530275,-21.0024,-0.530275,0.0596046,-0.530275,52.2747,-0.530275,97.845,-0.530275,77.5126
-0.520275,41.7232,-0.520275,66.9696,-0.520275,4.35521,-0.520275,4.99487,-0.520275,11.5324,-0.520275,3.27349,-0.520275,-7.26943,-0.520275,6.01053,-0.520275,22.5521,-0.520275,34.9487,-0.520275,6.54941,-0.520275,28.1781,-0.520275,69.2108,-0.520275,92.0895,-0.520275,64.266,-0.520275,8.97006,-0.520275,14.2844,-0.520275,70.0644,-0.520275,25.6237,-0.520275,-12.9724,-0.520275,8.73809,-0.520275,54.8388,-0.520275,101.149,-0.520275,81.6563
-0.510275,45.1674,-0.510275,70.8082,-0.510275,8.15562,-0.510275,10.7453,-0.510275,17.34,-0.510275,11.8232,-0.510275,-2.31504,-0.510275,12.5814,-0.510275,29.8542,-0.510275,39.7448,-0.510275,12.5807,-0.510275,33.6541,-0.510275,71.6045,-0.510275,95.7707,-0.510275,67.7898,-0.510275,12.9402,-0.510275,17.2466,-0.510275,73.86,-0.510275,30.8922,-0.510275,-5.2762,-0.510275,16.1005,-0.510275,57.6332,-0.510275,104.697,-0.510275,84.8464
-0.500276,48.9563,-0.500276,74.3559,-0.500276,11.9131,-0.500276,16.281,-0.500276,22.5638,-0.500276,19.6625,-0.500276,2.32006,-0.500276,19.142,-0.500276,36.9495,-0.500276,44.2399,-0.500276,17.7859,-0.500276,39.3962,-0.500276,74.7231,-0.500276,99.1754,-0.500276,71.6761,-0.500276,16.6605,-0.500276,20.6245,-0.500276,77.0643,-0.500276,35.9243,-0.500276,1.68085,-0.500276,23.2995,-0.500276,60.2462,-0.500276,108.183,-0.500276,88.6086
-0.490275,52.6046,-0.490275,77.8559,-0.490275,14.8018,-0.490275,21.4771,-0.490275,27.3441,-0.490275,26.904,-0.490275,6.727,-0.490275,25.0152,-0.490275,43.5352,-0.490275,48.6383,-0.490275,23.0707,-0.490275,44.5103,-0.490275,77.3647,-0.490275,102.628,-0.490275,75.3,-0.490275,20.222,-0.490275,23.6333,-0.490275,79.1338,-0.490275,40.8229,-0.490275,7.97515,-0.490275,29.6363,-0.490275,62.9642,-0.490275,111.525,-0.490275,91.8797
-0.480275,55.4873,-0.480275,81.313,-0.480275,18.0534,-0.480275,25.8215,-0.480275,31.9752,-0.480275,33.7547,-0.480275,10.4788,-0.480275,30.2175,-0.480275,49.2501,-0.480275,52.936,-0.480275,27.8014,-0.480275,49.2973,-0.480275,80.0112,-0.480275,106.247,-0.480275,78.6093,-0.480275,23.919,-0.480275,26.4319,-0.480275,83.3586,-0.480275,44.8779,-0.480275,14.0017,-0.480275,35.6292,-0.480275,65.7203,-0.480275,115.025,-0.480275,95.313
-0.470353,58.5821,-0.470353,84.0071,-0.470353,20.8281,-0.470353,30.2437,-0.470353,35.6521,-0.470353,39.462,-0.470353,14.3698,-0.470353,35.0951,-0.470353,54.7323,-0.470353,56.4649,-0.470353,32.0066,-0.470353,53.8459,-0.470353,82.672,-0.470353,109.032,-0.470353,81.8423,-0.470353,26.748,-0.470353,29.1718,-0.470353,85.8525,-0.470353,49.2091,-0.470353,18.8263,-0.470353,41.2134,-0.470353,67.9233,-0.470353,117.658,-0.470353,98.6031
-0.460353,61.2381,-0.460353,87.2162,-0.460353,23.6491,-0.460353,34.254,-0.460353,39.9579,-0.460353,45.2828,-0.460353,18.0224,-0.460353,39.2899,-0.460353,59.8171,-0.460353,60.3225,-0.460353,36.198,-0.460353,57.7381,-0.460353,84.832,-0.460353,112.336,-0.460353,84.8511,-0.460353,30.0778,-0.460353,31.3252,-0.460353,88.9853,-0.460353,53.2822,-0.460353,24.0034,-0.460353,46.1306,-0.460353,70.4649,-0.460353,121.01,-0.460353,101.574
-0.450354,64.3184,-0.450354,90.1249,-0.450354,26.472,-0.450354,38.2351,-0.450354,43.6839,-0.450354,50.4789,-0.450354,21.2901,-0.450354,43.7712,-0.450354,64.7333,-0.450354,63.7653,-0.450354,39.6794,-0.450354,61.9867,-0.450354,87.5071,-0.450354,115.354,-0.450354,88.1318,-0.450354,33.3513,-0.450354,34.027,-0.450354,91.6842,-0.450354,57.1992,-0.450354,28.5939,-0.450354,51.0044,-0.450354,72.6822,-0.450354,124.023,-0.450354,104.816
-0.440353,67.2796,-0.440353,93.1004,-0.440353,28.5286,-0.440353,42.088,-0.440353,47.1224,-0.440353,55.4778,-0.440353,24.5069,-0.440353,47.8205,-0.440353,69.4778,-0.440353,67.3177,-0.440353,43.4879,-0.440353,65.7537,-0.440353,89.9056,-0.440353,118.545,-0.440353,91.317,-0.440353,36.3215,-0.440353,36.343,-0.440353,94.3545,-0.440353,61.0569,-0.440353,32.8654,-0.440353,55.3634,-0.440353,75.0568,-0.440353,127.07,-0.440353,107.873
-0.430353,69.5637,-0.430353,96.095,-0.430353,31.0425,-0.430353,45.2046,-0.430353,50.6134,-0.430353,60.3035,-0.430353,27.2473,-0.430353,51.3944,-0.430353,73.5167,-0.430353,70.7748,-0.430353,46.8549,-0.430353,69.4254,-0.430353,92.285,-0.430353,121.601,-0.430353,94.1304,-0.430353,39.3485,-0.430353,38.4773,-0.430353,96.6147,-0.430353,64.2135,-0.430353,37.1036,-0.430353,59.6406,-0.430353,77.4792,-0.430353,130.136,-0.430353,110.915
-0.420353,72.1863,-0.420353,98.3695,-0.420353,33.132,-0.420353,48.5606,-0.420353,53.2653,-0.420353,64.3137,-0.420353,30.1813,-0.420353,54.9294,-0.420353,77.6556,-0.420353,73.5929,-0.420353,50.0173,-0.420353,72.954,-0.420353,94.7312,-0.420353,124.133,-0.420353,97.0677,-0.420353,42.1194,-0.420353,40.5964,-0.420353,99.8715,-0.420353,67.6944,-0.420353,40.3809,-0.420353,63.7319,-0.420353,79.315,-0.420353,132.478,-0.420353,114.081
-0.410353,74.3607,-0.410353,101.173,-0.410353,35.3397,-0.410353,51.5103,-0.410353,56.6986,-0.410353,68.6195,-0.410353,32.9746,-0.410353,57.9813,-0.410353,81.3845,-0.410353,76.8307,-0.410353,53.2319,-0.410353,75.9724,-0.410353,96.6958,-0.410353,127.109,-0.410353,99.7285,-0.410353,45.0501,-0.410353,42.3092,-0.410353,102.346,-0.410353,71.0228,-0.410353,44.1293,-0.410353,67.3654,-0.410353,81.6229,-0.410353,135.449,-0.410353,116.675
-0.400353,77.0405,-0.400353,103.753,-0.400353,37.5928,-0.400353,54.7673,-0.400353,59.5834,-0.400353,72.5058,-0.400353,35.4489,-0.400353,61.3525,-0.400353,85.266,-0.400353,79.6965,-0.400353,55.8974,-0.400353,79.439,-0.400353,99.0991,-0.400353,129.874,-0.400353,102.747,-0.400353,47.7023,-0.400353,44.4631,-0.400353,103.92,-0.400353,74.2319,-0.400353,47.5234,-0.400353,71.1706,-0.400353,83.7067,-0.400353,138.205,-0.400353,119.703
-0.390353,79.5391,-0.390353,106.328,-0.390353,39.1687,-0.390353,57.9336,-0.390353,62.5255,-0.390353,76.3062,-0.390353,38.0548,-0.390353,64.4996,-0.390353,89.0234,-0.390353,82.6481,-0.390353,58.9016,-0.390353,82.5242,-0.390353,101.149,-0.390353,132.63,-0.390353,105.646,-0.390353,50.8704,-0.390353,46.2398,-0.390353,107.491,-0.390353,77.4267,-0.390353,50.7588,-0.390353,74.4989,-0.390353,85.8906,-0.390353,140.865,-0.390353,122.631
-0.380353,81.6134,-0.380353,109.17,-0.380353,41.2564,-0.380353,60.456,-0.380353,65.5725,-0.380353,80.1208,-0.380353,40.1501,-0.380353,67.4131,-0.380353,92.3804,-0.380353,85.6474,-0.380353,61.7006,-0.380353,85.6904,-0.380353,103.629,-0.380353,135.425,-0.380353,108.355,-0.380353,53.4989,-0.380353,48.0446,-0.380353,109.485,-0.380353,80.1113,-0.380353,54.0854,-0.380353,78.0657,-0.380353,88.2796,-0.380353,143.86,-0.380353,125.764
-0.370353,83.9451,-0.370353,111.139,-0.370353,42.9277,-0.370353,63.2312,-0.370353,67.7516,-0.370353,83.268,-0.370353,42.5486,-0.370353,70.2312,-0.370353,95.6992,-0.370353,88.1413,-0.370353,64.2517,-0.370353,88.6944,-0.370353,105.999,-0.370353,137.928,-0.370353,111.125,-0.370353,56.0929,-0.370353,49.8018,-0.370353,112.203,-0.370353,83.0964,-0.370353,56.5603,-0.370353,81.4799,-0.370353,89.9867,-0.370353,145.925,-0.370353,128.72
-0.360353,85.8096,-0.360353,113.604,-0.360353,44.7392,-0.360353,65.8062,-0.360353,70.6366,-0.360353,86.7775,-0.360353,44.8202,-0.360353,72.687,-0.360353,98.8463,-0.360353,90.9165,-0.360353,66.9935,-0.360353,91.1883,-0.360353,107.72,-0.360353,140.594,-0.360353,113.643,-0.360353,59.0637,-0.360353,51.0978,-0.360353,113.776,-0.360353,85.9669,-0.360353,59.6311,-0.360353,84.4315,-0.360353,92.2183,-0.360353,148.81,-0.360353,131.233
-0.350353,88.3273,-0.350353,115.951,-0.350353,46.7109,-0.350353,68.5289,-0.350353,73.3593,-0.350353,90.082,-0.350353,46.9212,-0.350353,75.672,-0.350353,102.26,-0.350353,93.3913,-0.350353,69.2108,-0.350353,94.2687,-0.350353,110.314,-0.350353,143.254,-0.350353,116.656,-0.350353,61.4526,-0.350353,52.9077,-0.350353,115.946,-0.350353,88.7612,-0.350353,62.3729,-0.350353,87.6788,-0.350353,94.2925,-0.350353,151.47,-0.350353,134.476
-0.340353,90.7591,-0.340353,118.516,-0.340353,48.0098,-0.340353,71.2898,-0.340353,76.0057,-0.340353,93.3865,-0.340353,49.0894,-0.340353,78.4185,-0.340353,105.679,-0.340353,96.0378,-0.340353,71.924,-0.340353,97.0677,-0.340353,112.431,-0.340353,145.915,-0.340353,119.589,-0.340353,64.5807,-0.340353,54.5384,-0.340353,118.525,-0.340353,91.6556,-0.340353,65.0861,-0.340353,90.6208,-0.340353,96.5241,-0.340353,154.121,-0.340353,137.48
-0.330353,92.6426,-0.330353,121.21,-0.330353,49.7684,-0.330353,73.3688,-0.330353,78.4805,-0.330353,96.691,-0.330353,50.8599,-0.330353,80.8933,-0.330353,108.593,-0.330353,98.8082,-0.330353,74.375,-0.330353,99.8191,-0.330353,114.682,-0.330353,148.872,-0.330353,122.288,-0.330353,67.4942,-0.330353,56.0452,-0.330353,120.914,-0.330353,93.9731,-0.330353,67.8852,-0.330353,93.6345,-0.330353,98.8606,-0.330353,156.959,-0.330353,140.484
-0.320431,94.8409,-0.320431,123.218,-0.320431,51.207,-0.320431,75.8627,-0.320431,80.283,-0.320431,99.3947,-0.320431,52.9744,-0.320431,83.4635,-0.320431,111.678,-0.320431,100.935,-0.320431,76.6781,-0.320431,102.637,-0.320431,117.104,-0.320431,151.07,-0.320431,125.092,-0.320431,69.4921,-0.320431,57.5283,-0.320431,123.17,-0.320431,96.6672,-0.320431,69.9308,-0.320431,96.7197,-0.320431,100.668,-0.320431,159.124,-0.320431,143.66
-0.310431,96.6529,-0.310431,125.769,-0.310431,52.8218,-0.310431,78.1801,-0.310431,83.0868,-0.310431,102.532,-0.310431,55.0057,-0.310431,85.6427,-0.310431,114.615,-0.310431,103.438,-0.310431,79.2101,-0.310431,104.907,-0.310431,118.964,-0.310431,153.716,-0.310431,127.686,-0.310431,72.4628,-0.310431,58.625,-0.310431,125.387,-0.310431,99.1897,-0.310431,72.5582,-0.310431,99.3089,-0.310431,102.976,-0.310431,161.97,-0.310431,146.387
-0.300431,99.1038,-0.300431,128.215,-0.300431,54.5671,-0.300431,80.6263,-0.300431,85.2946,-0.300431,105.451,-0.300431,56.8512,-0.300431,88.3893,-0.300431,117.896,-0.300431,105.784,-0.300431,81.2366,-0.300431,107.773,-0.300431,121.491,-0.300431,156.515,-0.300431,130.818,-0.300431,74.9901,-0.300431,60.2844,-0.300431,127.633,-0.300431,101.755,-0.300431,74.9853,-0.300431,102.337,-0.300431,105.15,-0.300431,164.765,-0.300431,149.668
-0.290431,101.507,-0.290431,130.671,-0.290431,55.6781,-0.290431,83.0964,-0.290431,87.6168,-0.290431,108.607,-0.290431,58.749,-0.290431,90.9546,-0.290431,121.129,-0.290431,108.24,-0.290431,83.7925,-0.290431,110.362,-0.290431,123.857,-0.290431,159.224,-0.290431,133.889,-0.290431,77.9274,-0.290431,61.7006,-0.290431,129.04,-0.290431,104.378,-0.290431,77.36,-0.290431,104.888,-0.290431,107.511,-0.290431,167.554,-0.290431,152.758
-0.280431,103.424,-0.280431,133.393,-0.280431,57.2898,-0.280431,85.0371,-0.280431,90.4301,-0.280431,111.721,-0.280431,60.3702,-0.280431,93.4151,-0.280431,123.952,-0.280431,110.743,-0.280431,86.172,-0.280431,113.037,-0.280431,126.079,-0.280431,162.376,-0.280431,136.788,-0.280431,80.8695,-0.280431,63.0071,-0.280431,131.782,-0.280431,106.519,-0.280431,79.9349,-0.280431,107.859,-0.280431,109.976,-0.280431,170.625,-0.280431,156.053
-0.270431,105.675,-0.270431,135.496,-0.270431,58.5725,-0.270431,87.3736,-0.270431,92.3851,-0.270431,114.191,-0.270431,62.3014,-0.270431,95.8327,-0.270431,126.927,-0.270431,112.751,-0.270431,88.3511,-0.270431,115.66,-0.270431,128.758,-0.270431,164.655,-0.270431,139.735,-0.270431,82.2619,-0.270431,64.3995,-0.270431,134.476,-0.270431,109.017,-0.270431,81.7612,-0.270431,110.72,-0.270431,111.907,-0.270431,172.971,-0.270431,159.238
-0.26043,107.525,-0.26043,138.214,-0.26043,60.065,-0.26043,89.5575,-0.26043,94.9554,-0.26043,117.3,-0.26043,64.0323,-0.26043,98.0214,-0.26043,129.893,-0.26043,115.202,-0.26043,90.8307,-0.26043,117.92,-0.26043,131.104,-0.26043,167.835,-0.26043,142.615,-0.26043,86.0718,-0.26043,65.3865,-0.26043,136.879,-0.26043,112.57,-0.26043,84.2169,-0.26043,113.247,-0.26043,114.358,-0.26043,176.137,-0.26043,162.089
-0.250431,110.028,-0.250431,140.651,-0.250431,61.6577,-0.250431,91.8082,-0.250431,97.4254,-0.250431,120.175,-0.250431,65.8777,-0.250431,100.658,-0.250431,132.993,-0.250431,117.4,-0.250431,92.8429,-0.250431,120.695,-0.250431,133.431,-0.250431,170.592,-0.250431,145.844,-0.250431,88.6992,-0.250431,66.8504,-0.250431,139.072,-0.250431,114.153,-0.250431,86.4771,-0.250431,116.094,-0.250431,116.628,-0.250431,179.113,-0.250431,165.48
-0.240431,112.489,-0.240431,143.283,-0.240431,62.6495,-0.240431,94.2544,-0.240431,99.4328,-0.240431,123.232,-0.240431,67.8709,-0.240431,103.243,-0.240431,136.293,-0.240431,119.823,-0.240431,95.3702,-0.240431,123.313,-0.240431,136.254,-0.240431,173.829,-0.240431,149.081,-0.240431,91.3504,-0.240431,68.1665,-0.240431,141.342,-0.240431,116.661,-0.240431,88.7755,-0.240431,118.707,-0.240431,119.098,-0.240431,182.298,-0.240431,168.641
-0.230431,114.534,-0.230431,146.249,-0.230431,64.204,-0.230431,96.0854,-0.230431,102.108,-0.230431,126.441,-0.230431,69.1631,-0.230431,105.66,-0.230431,139.144,-0.230431,122.278,-0.230431,97.7258,-0.230431,125.95,-0.230431,139.158,-0.230431,177.243,-0.230431,152.147,-0.230431,94.0875,-0.230431,69.4778,-0.230431,144.141,-0.230431,118.683,-0.230431,91.2264,-0.230431,121.706,-0.230431,121.716,-0.230431,185.698,-0.230431,171.836
-0.22043,116.837,-0.22043,148.604,-0.22043,65.4247,-0.22043,97.8784,-0.22043,104.168,-0.22043,129.035,-0.22043,71.0991,-0.22043,108.159,-0.22043,142.239,-0.22043,124.386,-0.22043,100,-0.22043,128.649,-0.22043,141.566,-0.22043,180.004,-0.22043,155.204,-0.22043,96.7387,-0.22043,70.7748,-0.22043,143.598,-0.22043,121.119,-0.22043,92.9812,-0.22043,124.515,-0.22043,123.766,-0.22043,188.354,-0.22043,175.107
-0.21043,118.878,-0.21043,151.628,-0.21043,66.8075,-0.21043,100.439,-0.21043,106.943,-0.21043,132.173,-0.21043,72.954,-0.21043,110.357,-0.21043,145.205,-0.21043,126.894,-0.21043,102.504,-0.21043,130.961,-0.21043,144.232,-0.21043,183.471,-0.21043,158.141,-0.21043,99.3423,-0.21043,71.6331,-0.21043,148.91,-0.21043,123.528,-0.21043,95.3654,-0.21043,127.037,-0.21043,126.298,-0.21043,191.811,-0.21043,177.887
-0.200431,121.463,-0.200431,154.255,-0.200431,68.3715,-0.200431,102.809,-0.200431,108.97,-0.200431,135.005,-0.200431,74.6563,-0.200431,113.085,-0.200431,148.528,-0.200431,129.145,-0.200431,104.573,-0.200431,133.87,-0.200431,146.916,-0.200431,186.699,-0.200431,161.427,-0.200431,102.389,-0.200431,73.1781,-0.200431,151.322,-0.200431,125.974,-0.200431,97.6113,-0.200431,129.879,-0.200431,128.558,-0.200431,195.034,-0.200431,181.168
-0.190431,124.047,-0.190431,157.016,-0.190431,69.2871,-0.190431,105.255,-0.190431,111.611,-0.190431,138.133,-0.190431,76.4301,-0.190431,115.607,-0.190431,151.79,-0.190431,131.534,-0.190431,107.12,-0.190431,136.507,-0.190431,148.314,-0.190431,190.29,-0.190431,164.502,-0.190431,105.322,-0.190431,74.4751,-0.190431,153.854,-0.190431,128.515,-0.190431,99.8477,-0.190431,132.54,-0.190431,130.947,-0.190431,198.196,-0.190431,184.072
-0.180509,126.226,-0.180509,160.096,-0.180509,70.8178,-0.180509,107.21,-0.180509,114.325,-0.180509,141.404,-0.180509,77.9703,-0.180509,118.216,-0.180509,154.784,-0.180509,134.318,-0.180509,109.609,-0.180509,139.44,-0.180509,151.857,-0.180509,193.847,-0.180509,167.425,-0.180509,108.087,-0.180509,75.7578,-0.180509,156.396,-0.180509,130.651,-0.180509,102.384,-0.180509,135.658,-0.180509,133.47,-0.180509,201.658,-0.180509,187.224
-0.170508,128.62,-0.170508,162.6,-0.170508,71.9574,-0.170508,109.499,-0.170508,116.528,-0.170508,144.041,-0.170508,79.8967,-0.170508,120.767,-0.170508,157.912,-0.170508,136.431,-0.170508,111.94,-0.170508,142.205,-0.170508,154.417,-0.170508,196.861,-0.170508,170.286,-0.170508,110.667,-0.170508,77.1025,-0.170508,159.443,-0.170508,133.169,-0.170508,104.163,-0.170508,138.529,-0.170508,135.358,-0.170508,204.132,-0.170508,190.228
-0.160508,130.68,-0.160508,165.599,-0.160508,73.3307,-0.160508,111.745,-0.160508,119.384,-0.160508,147.079,-0.160508,81.7183,-0.160508,123.022,-0.160508,160.902,-0.160508,139.053,-0.160508,114.558,-0.160508,144.671,-0.160508,156.596,-0.160508,200.413,-0.160508,172.885,-0.160508,113.848,-0.160508,78.1467,-0.160508,162.213,-0.160508,135.654,-0.160508,106.624,-0.160508,141.08,-0.160508,137.599,-0.160508,207.208,-0.160508,192.798
-0.150508,133.441,-0.150508,168.293,-0.150508,74.8947,-0.150508,114.143,-0.150508,121.449,-0.150508,150.259,-0.150508,83.4683,-0.150508,125.869,-0.150508,164.178,-0.150508,141.414,-0.150508,116.69,-0.150508,147.732,-0.150508,159.2,-0.150508,203.627,-0.150508,175.851,-0.150508,116.489,-0.150508,79.7251,-0.150508,163.849,-0.150508,138.205,-0.150508,108.927,-0.150508,143.974,-0.150508,139.678,-0.150508,210.074,-0.150508,195.921
-0.140509,136.097,-0.140509,171.049,-0.140509,75.8675,-0.140509,116.661,-0.140509,124.243,-0.140509,153.335,-0.140509,85.347,-0.140509,128.525,-0.140509,167.506,-0.140509,144.213,-0.140509,119.37,-0.140509,150.607,-0.140509,161.436,-0.140509,206.85,-0.140509,178.655,-0.140509,119.789,-0.140509,81.0078,-0.140509,166.577,-0.140509,140.937,-0.140509,111.301,-0.140509,146.788,-0.140509,141.857,-0.140509,212.758,-0.140509,198.711
-0.130508,138.319,-0.130508,173.901,-0.130508,77.3457,-0.130508,118.783,-0.130508,126.837,-0.130508,156.787,-0.130508,86.8777,-0.130508,131.085,-0.130508,170.363,-0.130508,146.983,-0.130508,121.849,-0.130508,153.535,-0.130508,163.735,-0.130508,209.983,-0.130508,180.991,-0.130508,122.974,-0.130508,82.4908,-0.130508,169.738,-0.130508,143.102,-0.130508,113.838,-0.130508,149.773,-0.130508,144.098,-0.130508,215.443,-0.130508,201.691
-0.120508,140.813,-0.120508,175.98,-0.120508,78.5187,-0.120508,121.258,-0.120508,128.148,-0.120508,159.343,-0.120508,88.6467,-0.120508,133.732,-0.120508,173.429,-0.120508,149.377,-0.120508,124.257,-0.120508,156.544,-0.120508,165.804,-0.120508,212.592,-0.120508,183.495,-0.120508,125.282,-0.120508,83.9833,-0.120508,172.613,-0.120508,145.815,-0.120508,115.722,-0.120508,152.653,-0.120508,145.763,-0.120508,217.369,-0.120508,204.662
-0.110508,142.925,-0.110508,178.579,-0.110508,79.9444,-0.110508,123.485,-0.110508,131.448,-0.110508,162.719,-0.110508,90.7353,-0.110508,136.03,-0.110508,176.418,-0.110508,152.219,-0.110508,126.923,-0.110508,159.119,-0.110508,167.783,-0.110508,215.267,-0.110508,185.679,-0.110508,128.859,-0.110508,85.0466,-0.110508,172.022,-0.110508,148.552,-0.110508,118.316,-0.110508,155.175,-0.110508,147.875,-0.110508,219.754,-0.110508,207.265
-0.100508,145.686,-0.100508,180.91,-0.100508,81.518,-0.100508,126.117,-0.100508,134.619,-0.100508,165.861,-0.100508,92.6951,-0.100508,138.915,-0.100508,179.518,-0.100508,154.865,-0.100508,129.073,-0.100508,162.242,-0.100508,169.714,-0.100508,217.727,-0.100508,188.239,-0.100508,132.058,-0.100508,86.7012,-0.100508,175.956,-0.100508,151.313,-0.100508,120.709,-0.100508,158.055,-0.100508,149.801,-0.100508,221.876,-0.100508,210.455
-0.0905085,148.323,-0.0905085,183.218,-0.0905085,82.5146,-0.0905085,128.692,-0.0905085,136.326,-0.0905085,168.937,-0.0905085,94.4737,-0.0905085,141.514,-0.0905085,182.665,-0.0905085,157.645,-0.0905085,131.772,-0.0905085,165.108,-0.0905085,171.951,-0.0905085,220.211,-0.0905085,190.647,-0.0905085,135.1,-0.0905085,88.2128,-0.0905085,178.998,-0.0905085,154.265,-0.0905085,123.127,-0.0905085,160.669,-0.0905085,151.914,-0.0905085,224.04,-0.0905085,213.307
-0.0805082,150.531,-0.0805082,185.521,-0.0805082,84.0405,-0.0805082,130.747,-0.0805082,139.173,-0.0805082,172.17,-0.0805082,96.1331,-0.0805082,144.084,-0.0805082,185.378,-0.0805082,160.492,-0.0805082,134.299,-0.0805082,167.936,-0.0805082,173.448,-0.0805082,222.591,-0.0805082,192.827,-0.0805082,138.72,-0.0805082,89.6147,-0.0805082,181.034,-0.0805082,156.763,-0.0805082,125.697,-0.0805082,163.501,-0.0805082,154.141,-0.0805082,226.258,-0.0805082,216.454
-0.070508,153.058,-0.070508,187.224,-0.070508,85.2755,-0.070508,133.489,-0.070508,141.624,-0.070508,174.583,-0.070508,98.2074,-0.070508,146.711,-0.070508,188.225,-0.070508,162.981,-0.070508,136.636,-0.070508,170.778,-0.070508,176.333,-0.070508,224.355,-0.070508,195.044,-0.070508,141.614,-0.070508,91.0405,-0.070508,181.153,-0.070508,159.72,-0.070508,127.624,-0.070508,166.147,-0.070508,155.843,-0.070508,227.693,-0.070508,219.644
-0.0605078,155.147,-0.0605078,189.617,-0.0605078,86.7871,-0.0605078,135.863,-0.0605078,144.475,-0.0605078,177.553,-0.0605078,100.177,-0.0605078,148.991,-0.0605078,190.957,-0.0605078,165.861,-0.0605078,139.363,-0.0605078,173.109,-0.0605078,178.054,-0.0605078,226.353,-0.0605078,197.147,-0.0605078,145.19,-0.0605078,92.1801,-0.0605078,183.724,-0.0605078,162.647,-0.0605078,130.222,-0.0605078,168.489,-0.0605078,158.079,-0.0605078,229.958,-0.0605078,222.486
-0.0505075,157.936,-0.0505075,191.792,-0.0505075,88.456,-0.0505075,138.343,-0.0505075,147.455,-0.0505075,180.319,-0.0505075,102.041,-0.0505075,151.847,-0.0505075,194,-0.0505075,168.403,-0.0505075,141.519,-0.0505075,175.87,-0.0505075,180.424,-0.0505075,228.451,-0.0505075,199.598,-0.0505075,148.49,-0.0505075,93.8539,-0.0505075,186.356,-0.0505075,165.527,-0.0505075,132.592,-0.0505075,171.221,-0.0505075,160.082,-0.0505075,231.908,-0.0505075,225.976
